GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tpAchatProject,com.esprit.examen.services,ReglementServiceImpl,35,3,0,0,8,1,5,1,5,1
tpAchatProject,com.esprit.examen.services,SecteurActiviteServiceImpl,22,15,0,0,6,4,3,3,3,3
tpAchatProject,com.esprit.examen.services,FactureServiceImpl,208,7,4,0,41,2,10,2,8,2
tpAchatProject,com.esprit.examen.services,FournisseurServiceImpl,27,92,0,2,5,23,1,9,1,8
tpAchatProject,com.esprit.examen.services,CategorieProduitServiceImpl,33,3,0,0,9,1,5,1,5,1
tpAchatProject,com.esprit.examen.services,OperateurServiceImpl,34,3,0,0,9,1,5,1,5,1
tpAchatProject,com.esprit.examen.services,ProduitServiceImpl,99,7,4,0,20,2,8,2,6,2
tpAchatProject,com.esprit.examen.services,StockServiceImpl,167,7,4,0,33,2,8,2,6,2
tpAchatProject,com.esprit.examen.controllers,StockRestController,28,3,0,0,8,1,5,1,5,1
tpAchatProject,com.esprit.examen.controllers,SecteurActiviteController,28,3,0,0,8,1,5,1,5,1
tpAchatProject,com.esprit.examen.controllers,OperateurController,28,3,0,0,8,1,5,1,5,1
tpAchatProject,com.esprit.examen.controllers,FournisseurRestController,34,3,0,0,10,1,6,1,6,1
tpAchatProject,com.esprit.examen.controllers,FactureRestController,43,3,0,0,13,1,7,1,7,1
tpAchatProject,com.esprit.examen.controllers,ProduitRestController,34,3,0,0,10,1,6,1,6,1
tpAchatProject,com.esprit.examen.controllers,CategorieProduitController,26,3,0,0,7,1,5,1,5,1
tpAchatProject,com.esprit.examen.controllers,ReglementRestController,32,3,0,0,9,1,5,1,5,1
tpAchatProject,com.esprit.examen,TpAchatProjectApplication,5,3,0,0,2,1,1,1,1,1
tpAchatProject,com.esprit.examen,SpringFoxSwaggerConfig,0,80,0,0,0,22,0,6,0,6
tpAchatProject,com.esprit.examen.entities,Fournisseur,59,27,0,0,8,6,9,8,9,8
tpAchatProject,com.esprit.examen.entities,Reglement,63,3,0,0,8,1,13,1,13,1
tpAchatProject,com.esprit.examen.entities,Facture,93,3,0,0,11,1,19,1,19,1
tpAchatProject,com.esprit.examen.entities,Stock,65,3,0,0,12,1,12,1,12,1
tpAchatProject,com.esprit.examen.entities,DetailFacture,73,3,0,0,9,1,15,1,15,1
tpAchatProject,com.esprit.examen.entities,CategorieFournisseur,0,24,0,0,0,2,0,1,0,1
tpAchatProject,com.esprit.examen.entities,Produit,93,3,0,0,11,1,19,1,19,1
tpAchatProject,com.esprit.examen.entities,DetailFournisseur,56,10,0,0,6,3,11,3,11,3
tpAchatProject,com.esprit.examen.entities,CategorieProduit,43,3,0,0,6,1,9,1,9,1
tpAchatProject,com.esprit.examen.entities,Operateur,53,3,0,0,7,1,11,1,11,1
tpAchatProject,com.esprit.examen.entities,SecteurActivite,34,21,0,0,3,8,6,5,6,5
